dataset,noise,trial,algorithm,mu,accuracy,frobenius,gt_frobenius,time_sec
netscience,0,0,Fugal,,0.667546,16.0,0.0,23.32
netscience,0,0,Fugal_init,0.05,0.683377,0.0,0.0,18.46
netscience,0,0,Fugal_init,0.1,0.683377,0.0,0.0,19.82
netscience,0,0,Fugal_init,0.25,0.683377,0.0,0.0,17.85
netscience,0,0,Fugal_init,0.5,0.683377,0.0,0.0,17.77
netscience,0,0,Fugal_init,1,0.683377,0.0,0.0,17.82
netscience,0,0,Fugal_init,1.5,0.683377,0.0,0.0,17.77
netscience,0,0,Fugal_init,2,0.683377,0.0,0.0,17.8
netscience,0,0,Fugal_init,2.5,0.683377,0.0,0.0,17.72
netscience,0,0,Fugal_init,3,0.683377,0.0,0.0,19.96
netscience,0,0,QAP,,0.263852,820.0,0.0,0.32
netscience,0,0,QAP_init,,0.693931,0.0,0.0,0.05
netscience,0,1,Fugal,,0.69657,24.0,0.0,18.05
netscience,0,1,Fugal_init,0.05,0.709763,0.0,0.0,17.75
netscience,0,1,Fugal_init,0.1,0.709763,0.0,0.0,17.91
netscience,0,1,Fugal_init,0.25,0.709763,0.0,0.0,17.9
netscience,0,1,Fugal_init,0.5,0.709763,0.0,0.0,18.17
netscience,0,1,Fugal_init,1,0.709763,0.0,0.0,17.93
netscience,0,1,Fugal_init,1.5,0.709763,0.0,0.0,19.03
netscience,0,1,Fugal_init,2,0.709763,0.0,0.0,18.08
netscience,0,1,Fugal_init,2.5,0.709763,0.0,0.0,18.03
netscience,0,1,Fugal_init,3,0.709763,0.0,0.0,17.95
netscience,0,1,QAP,,0.356201,836.0,0.0,0.42
netscience,0,1,QAP_init,,0.707124,0.0,0.0,0.07
netscience,0,2,Fugal,,0.691293,32.0,0.0,17.88
netscience,0,2,Fugal_init,0.05,0.712401,0.0,0.0,17.9
netscience,0,2,Fugal_init,0.1,0.712401,0.0,0.0,17.73
netscience,0,2,Fugal_init,0.25,0.712401,0.0,0.0,19.05
netscience,0,2,Fugal_init,0.5,0.712401,0.0,0.0,17.78
netscience,0,2,Fugal_init,1,0.712401,0.0,0.0,18.44
netscience,0,2,Fugal_init,1.5,0.712401,0.0,0.0,18.0
netscience,0,2,Fugal_init,2,0.712401,0.0,0.0,17.95
netscience,0,2,Fugal_init,2.5,0.712401,0.0,0.0,17.83
netscience,0,2,Fugal_init,3,0.712401,0.0,0.0,17.78
netscience,0,2,QAP,,0.329815,772.0,0.0,0.34
netscience,0,2,QAP_init,,0.720317,0.0,0.0,0.05
netscience,5,0,Fugal,,0.651715,98.0,82.0,17.91
netscience,5,0,Fugal_init,0.05,0.656992,138.0,82.0,17.69
netscience,5,0,Fugal_init,0.1,0.6781,82.0,82.0,17.88
netscience,5,0,Fugal_init,0.25,0.683377,82.0,82.0,17.87
netscience,5,0,Fugal_init,0.5,0.6781,82.0,82.0,17.75
netscience,5,0,Fugal_init,1,0.670185,98.0,82.0,17.79
netscience,5,0,Fugal_init,1.5,0.670185,106.0,82.0,17.77
netscience,5,0,Fugal_init,2,0.656992,134.0,82.0,17.74
netscience,5,0,Fugal_init,2.5,0.656992,138.0,82.0,17.7
netscience,5,0,Fugal_init,3,0.656992,138.0,82.0,17.81
netscience,5,0,QAP,,0.176781,1066.0,82.0,1.84
netscience,5,0,QAP_init,,0.686016,90.0,82.0,0.07
netscience,5,1,Fugal,,0.670185,150.0,94.0,18.08
netscience,5,1,Fugal_init,0.05,0.638522,138.0,94.0,17.96
netscience,5,1,Fugal_init,0.1,0.654354,94.0,94.0,17.82
netscience,5,1,Fugal_init,0.25,0.667546,94.0,94.0,17.95
netscience,5,1,Fugal_init,0.5,0.659631,106.0,94.0,17.82
netscience,5,1,Fugal_init,1,0.656992,126.0,94.0,17.69
netscience,5,1,Fugal_init,1.5,0.646438,150.0,94.0,17.95
netscience,5,1,Fugal_init,2,0.643799,154.0,94.0,18.03
netscience,5,1,Fugal_init,2.5,0.633245,166.0,94.0,17.77
netscience,5,1,Fugal_init,3,0.635884,166.0,94.0,17.87
netscience,5,1,QAP,,0.131926,1270.0,94.0,0.36
netscience,5,1,QAP_init,,0.659631,98.0,94.0,0.06
netscience,5,2,Fugal,,0.675462,148.0,84.0,17.85
netscience,5,2,Fugal_init,0.05,0.670185,160.0,84.0,17.78
netscience,5,2,Fugal_init,0.1,0.701847,88.0,84.0,17.75
netscience,5,2,Fugal_init,0.25,0.709763,84.0,84.0,17.82
netscience,5,2,Fugal_init,0.5,0.709763,92.0,84.0,17.98
netscience,5,2,Fugal_init,1,0.704485,108.0,84.0,18.08
netscience,5,2,Fugal_init,1.5,0.704485,108.0,84.0,18.0
netscience,5,2,Fugal_init,2,0.704485,116.0,84.0,17.94
netscience,5,2,Fugal_init,2.5,0.704485,116.0,84.0,18.2
netscience,5,2,Fugal_init,3,0.704485,116.0,84.0,17.96
netscience,5,2,QAP,,0.044855,1416.0,84.0,0.31
netscience,5,2,QAP_init,,0.728232,88.0,84.0,0.05
netscience,10,0,Fugal,,0.604222,252.0,188.0,17.8
netscience,10,0,Fugal_init,0.05,0.672823,256.0,188.0,17.78
netscience,10,0,Fugal_init,0.1,0.649077,240.0,188.0,17.96
netscience,10,0,Fugal_init,0.25,0.675462,204.0,188.0,18.01
netscience,10,0,Fugal_init,0.5,0.680739,204.0,188.0,18.06
netscience,10,0,Fugal_init,1,0.680739,224.0,188.0,18.1
netscience,10,0,Fugal_init,1.5,0.675462,244.0,188.0,17.76
netscience,10,0,Fugal_init,2,0.6781,252.0,188.0,17.92
netscience,10,0,Fugal_init,2.5,0.667546,268.0,188.0,17.9
netscience,10,0,Fugal_init,3,0.659631,304.0,188.0,18.04
netscience,10,0,QAP,,0.058047,1456.0,188.0,0.65
netscience,10,0,QAP_init,,0.69657,212.0,188.0,0.09
netscience,10,1,Fugal,,0.683377,254.0,174.0,18.18
netscience,10,1,Fugal_init,0.05,0.649077,282.0,174.0,18.01
netscience,10,1,Fugal_init,0.1,0.641161,230.0,174.0,17.47
netscience,10,1,Fugal_init,0.25,0.638522,230.0,174.0,18.12
netscience,10,1,Fugal_init,0.5,0.670185,194.0,174.0,17.84
netscience,10,1,Fugal_init,1,0.670185,202.0,174.0,18.03
netscience,10,1,Fugal_init,1.5,0.659631,234.0,174.0,17.97
netscience,10,1,Fugal_init,2,0.659631,234.0,174.0,17.96
netscience,10,1,Fugal_init,2.5,0.659631,234.0,174.0,17.92
netscience,10,1,Fugal_init,3,0.646438,246.0,174.0,18.15
netscience,10,1,QAP,,0.100264,1150.0,174.0,0.39
netscience,10,1,QAP_init,,0.656992,198.0,174.0,0.09
netscience,10,2,Fugal,,0.635884,262.0,186.0,17.98
netscience,10,2,Fugal_init,0.05,0.514512,618.0,186.0,18.15
netscience,10,2,Fugal_init,0.1,0.583113,330.0,186.0,18.05
netscience,10,2,Fugal_init,0.25,0.664908,202.0,186.0,18.06
netscience,10,2,Fugal_init,0.5,0.654354,214.0,186.0,18.07
netscience,10,2,Fugal_init,1,0.635884,242.0,186.0,18.11
netscience,10,2,Fugal_init,1.5,0.633245,250.0,186.0,17.78
netscience,10,2,Fugal_init,2,0.630607,274.0,186.0,18.0
netscience,10,2,Fugal_init,2.5,0.620053,298.0,186.0,17.81
netscience,10,2,Fugal_init,3,0.620053,298.0,186.0,18.15
netscience,10,2,QAP,,0.094987,1234.0,186.0,2.06
netscience,10,2,QAP_init,,0.654354,194.0,186.0,0.06
netscience,15,0,Fugal,,0.622691,344.0,276.0,17.81
netscience,15,0,Fugal_init,0.05,0.564644,600.0,276.0,17.46
netscience,15,0,Fugal_init,0.1,0.617414,296.0,276.0,17.87
netscience,15,0,Fugal_init,0.25,0.609499,312.0,276.0,18.16
netscience,15,0,Fugal_init,0.5,0.620053,304.0,276.0,18.06
netscience,15,0,Fugal_init,1,0.609499,328.0,276.0,17.96
netscience,15,0,Fugal_init,1.5,0.593668,364.0,276.0,18.23
netscience,15,0,Fugal_init,2,0.575198,384.0,276.0,17.97
netscience,15,0,Fugal_init,2.5,0.583113,400.0,276.0,18.08
netscience,15,0,Fugal_init,3,0.577836,432.0,276.0,17.83
netscience,15,0,QAP,,0.092348,1252.0,276.0,4.12
netscience,15,0,QAP_init,,0.577836,408.0,276.0,0.12
netscience,15,1,Fugal,,0.641161,364.0,268.0,17.79
netscience,15,1,Fugal_init,0.05,0.567282,584.0,268.0,17.59
netscience,15,1,Fugal_init,0.1,0.612137,368.0,268.0,17.81
netscience,15,1,Fugal_init,0.25,0.614776,364.0,268.0,18.0
netscience,15,1,Fugal_init,0.5,0.620053,368.0,268.0,17.87
netscience,15,1,Fugal_init,1,0.641161,344.0,268.0,18.01
netscience,15,1,Fugal_init,1.5,0.614776,368.0,268.0,17.72
netscience,15,1,Fugal_init,2,0.612137,368.0,268.0,18.06
netscience,15,1,Fugal_init,2.5,0.604222,388.0,268.0,17.94
netscience,15,1,Fugal_init,3,0.585752,440.0,268.0,17.99
netscience,15,1,QAP,,0.094987,1212.0,268.0,2.33
netscience,15,1,QAP_init,,0.688654,280.0,268.0,0.09
netscience,15,2,Fugal,,0.572559,378.0,278.0,17.74
netscience,15,2,Fugal_init,0.05,0.295515,1242.0,278.0,17.47
netscience,15,2,Fugal_init,0.1,0.419525,674.0,278.0,17.87
netscience,15,2,Fugal_init,0.25,0.646438,310.0,278.0,17.6
netscience,15,2,Fugal_init,0.5,0.638522,326.0,278.0,17.91
netscience,15,2,Fugal_init,1,0.643799,338.0,278.0,17.92
netscience,15,2,Fugal_init,1.5,0.635884,362.0,278.0,18.0
netscience,15,2,Fugal_init,2,0.620053,378.0,278.0,18.01
netscience,15,2,Fugal_init,2.5,0.612137,394.0,278.0,17.83
netscience,15,2,Fugal_init,3,0.604222,410.0,278.0,18.04
netscience,15,2,QAP,,0.079156,1306.0,278.0,2.33
netscience,15,2,QAP_init,,0.659631,298.0,278.0,0.1
netscience,20,0,Fugal,,0.538259,500.0,352.0,17.72
netscience,20,0,Fugal_init,0.05,0.295515,1620.0,352.0,16.93
netscience,20,0,Fugal_init,0.1,0.511873,628.0,352.0,17.26
netscience,20,0,Fugal_init,0.25,0.546174,492.0,352.0,17.66
netscience,20,0,Fugal_init,0.5,0.559367,468.0,352.0,17.86
netscience,20,0,Fugal_init,1,0.527704,480.0,352.0,17.86
netscience,20,0,Fugal_init,1.5,0.564644,464.0,352.0,17.99
netscience,20,0,Fugal_init,2,0.564644,484.0,352.0,17.89
netscience,20,0,Fugal_init,2.5,0.556728,480.0,352.0,17.81
netscience,20,0,Fugal_init,3,0.543536,516.0,352.0,17.88
netscience,20,0,QAP,,0.047493,1400.0,352.0,0.34
netscience,20,0,QAP_init,,0.530343,616.0,352.0,0.18
netscience,20,1,Fugal,,0.538259,570.0,354.0,17.76
netscience,20,1,Fugal_init,0.05,0.443272,1066.0,354.0,17.16
netscience,20,1,Fugal_init,0.1,0.569921,602.0,354.0,17.64
netscience,20,1,Fugal_init,0.25,0.588391,526.0,354.0,17.82
netscience,20,1,Fugal_init,0.5,0.585752,498.0,354.0,17.9
netscience,20,1,Fugal_init,1,0.546174,534.0,354.0,18.06
netscience,20,1,Fugal_init,1.5,0.538259,546.0,354.0,17.9
netscience,20,1,Fugal_init,2,0.525066,582.0,354.0,17.69
netscience,20,1,Fugal_init,2.5,0.525066,606.0,354.0,17.92
netscience,20,1,Fugal_init,3,0.509235,614.0,354.0,17.91
netscience,20,1,QAP,,0.058047,1274.0,354.0,3.66
netscience,20,1,QAP_init,,0.577836,530.0,354.0,0.19
netscience,20,2,Fugal,,0.562005,492.0,360.0,17.77
netscience,20,2,Fugal_init,0.05,0.266491,1544.0,360.0,17.21
netscience,20,2,Fugal_init,0.1,0.298153,1112.0,360.0,17.5
netscience,20,2,Fugal_init,0.25,0.480211,540.0,360.0,17.84
netscience,20,2,Fugal_init,0.5,0.551451,456.0,360.0,17.76
netscience,20,2,Fugal_init,1,0.562005,456.0,360.0,17.65
netscience,20,2,Fugal_init,1.5,0.562005,472.0,360.0,17.94
netscience,20,2,Fugal_init,2,0.564644,460.0,360.0,17.76
netscience,20,2,Fugal_init,2.5,0.564644,460.0,360.0,17.95
netscience,20,2,Fugal_init,3,0.567282,476.0,360.0,18.01
netscience,20,2,QAP,,0.026385,1380.0,360.0,1.65
netscience,20,2,QAP_init,,0.543536,420.0,360.0,0.16
highschool,0,0,Fugal,,1.0,0.0,0.0,13.86
highschool,0,0,Fugal_init,0.05,1.0,0.0,0.0,16.9
highschool,0,0,Fugal_init,0.1,1.0,0.0,0.0,16.85
highschool,0,0,Fugal_init,0.25,1.0,0.0,0.0,16.89
highschool,0,0,Fugal_init,0.5,1.0,0.0,0.0,13.93
highschool,0,0,Fugal_init,1,1.0,0.0,0.0,10.88
highschool,0,0,Fugal_init,1.5,1.0,0.0,0.0,10.85
highschool,0,0,Fugal_init,2,1.0,0.0,0.0,9.3
highschool,0,0,Fugal_init,2.5,1.0,0.0,0.0,9.28
highschool,0,0,Fugal_init,3,1.0,0.0,0.0,7.63
highschool,0,0,QAP,,1.0,0.0,0.0,1.66
highschool,0,0,QAP_init,,1.0,0.0,0.0,0.8
highschool,0,1,Fugal,,1.0,0.0,0.0,13.74
highschool,0,1,Fugal_init,0.05,1.0,0.0,0.0,16.67
highschool,0,1,Fugal_init,0.1,1.0,0.0,0.0,16.89
highschool,0,1,Fugal_init,0.25,1.0,0.0,0.0,17.0
highschool,0,1,Fugal_init,0.5,1.0,0.0,0.0,13.84
highschool,0,1,Fugal_init,1,1.0,0.0,0.0,10.67
highschool,0,1,Fugal_init,1.5,1.0,0.0,0.0,10.79
highschool,0,1,Fugal_init,2,1.0,0.0,0.0,9.31
highschool,0,1,Fugal_init,2.5,1.0,0.0,0.0,9.3
highschool,0,1,Fugal_init,3,1.0,0.0,0.0,7.7
highschool,0,1,QAP,,1.0,0.0,0.0,0.16
highschool,0,1,QAP_init,,1.0,0.0,0.0,0.08
highschool,0,2,Fugal,,1.0,0.0,0.0,14.2
highschool,0,2,Fugal_init,0.05,1.0,0.0,0.0,16.84
highschool,0,2,Fugal_init,0.1,1.0,0.0,0.0,16.87
highschool,0,2,Fugal_init,0.25,1.0,0.0,0.0,16.7
highschool,0,2,Fugal_init,0.5,1.0,0.0,0.0,13.78
highschool,0,2,Fugal_init,1,1.0,0.0,0.0,10.82
highschool,0,2,Fugal_init,1.5,1.0,0.0,0.0,10.68
highschool,0,2,Fugal_init,2,1.0,0.0,0.0,9.18
highschool,0,2,Fugal_init,2.5,1.0,0.0,0.0,9.26
highschool,0,2,Fugal_init,3,1.0,0.0,0.0,7.7
highschool,0,2,QAP,,1.0,0.0,0.0,0.42
highschool,0,2,QAP_init,,1.0,0.0,0.0,0.08
highschool,5,0,Fugal,,1.0,624.0,624.0,13.62
highschool,5,0,Fugal_init,0.05,1.0,624.0,624.0,16.72
highschool,5,0,Fugal_init,0.1,1.0,624.0,624.0,16.94
highschool,5,0,Fugal_init,0.25,1.0,624.0,624.0,16.84
highschool,5,0,Fugal_init,0.5,1.0,624.0,624.0,13.78
highschool,5,0,Fugal_init,1,1.0,624.0,624.0,13.9
highschool,5,0,Fugal_init,1.5,1.0,624.0,624.0,12.41
highschool,5,0,Fugal_init,2,1.0,624.0,624.0,13.85
highschool,5,0,Fugal_init,2.5,1.0,624.0,624.0,15.26
highschool,5,0,Fugal_init,3,1.0,624.0,624.0,16.89
highschool,5,0,QAP,,0.229358,9100.0,624.0,0.42
highschool,5,0,QAP_init,,1.0,624.0,624.0,0.08
highschool,5,1,Fugal,,1.0,568.0,568.0,13.66
highschool,5,1,Fugal_init,0.05,1.0,568.0,568.0,16.73
highschool,5,1,Fugal_init,0.1,1.0,568.0,568.0,16.54
highschool,5,1,Fugal_init,0.25,1.0,568.0,568.0,16.7
highschool,5,1,Fugal_init,0.5,1.0,568.0,568.0,13.53
highschool,5,1,Fugal_init,1,1.0,568.0,568.0,12.31
highschool,5,1,Fugal_init,1.5,1.0,568.0,568.0,12.16
highschool,5,1,Fugal_init,2,1.0,568.0,568.0,13.61
highschool,5,1,Fugal_init,2.5,1.0,568.0,568.0,13.5
highschool,5,1,Fugal_init,3,1.0,568.0,568.0,13.71
highschool,5,1,QAP,,1.0,568.0,568.0,0.18
highschool,5,1,QAP_init,,1.0,568.0,568.0,0.08
highschool,5,2,Fugal,,1.0,596.0,596.0,16.46
highschool,5,2,Fugal_init,0.05,1.0,596.0,596.0,16.69
highschool,5,2,Fugal_init,0.1,1.0,596.0,596.0,16.73
highschool,5,2,Fugal_init,0.25,1.0,596.0,596.0,16.76
highschool,5,2,Fugal_init,0.5,1.0,596.0,596.0,16.61
highschool,5,2,Fugal_init,1,1.0,596.0,596.0,16.7
highschool,5,2,Fugal_init,1.5,1.0,596.0,596.0,16.53
highschool,5,2,Fugal_init,2,1.0,596.0,596.0,16.8
highschool,5,2,Fugal_init,2.5,1.0,596.0,596.0,16.7
highschool,5,2,Fugal_init,3,1.0,596.0,596.0,15.22
highschool,5,2,QAP,,1.0,596.0,596.0,0.18
highschool,5,2,QAP_init,,1.0,596.0,596.0,0.08
highschool,10,0,Fugal,,1.0,1182.0,1182.0,14.81
highschool,10,0,Fugal_init,0.05,1.0,1182.0,1182.0,16.66
highschool,10,0,Fugal_init,0.1,1.0,1182.0,1182.0,16.52
highschool,10,0,Fugal_init,0.25,1.0,1182.0,1182.0,16.52
highschool,10,0,Fugal_init,0.5,1.0,1182.0,1182.0,15.09
highschool,10,0,Fugal_init,1,1.0,1182.0,1182.0,13.41
highschool,10,0,Fugal_init,1.5,1.0,1182.0,1182.0,14.93
highschool,10,0,Fugal_init,2,1.0,1182.0,1182.0,16.32
highschool,10,0,Fugal_init,2.5,1.0,1182.0,1182.0,16.32
highschool,10,0,Fugal_init,3,1.0,1182.0,1182.0,16.36
highschool,10,0,QAP,,0.308869,8126.0,1182.0,0.35
highschool,10,0,QAP_init,,1.0,1182.0,1182.0,0.08
highschool,10,1,Fugal,,1.0,1176.0,1176.0,16.24
highschool,10,1,Fugal_init,0.05,1.0,1176.0,1176.0,16.58
highschool,10,1,Fugal_init,0.1,1.0,1176.0,1176.0,16.73
highschool,10,1,Fugal_init,0.25,1.0,1176.0,1176.0,16.48
highschool,10,1,Fugal_init,0.5,1.0,1176.0,1176.0,16.44
highschool,10,1,Fugal_init,1,1.0,1176.0,1176.0,16.52
highschool,10,1,Fugal_init,1.5,1.0,1176.0,1176.0,16.48
highschool,10,1,Fugal_init,2,1.0,1176.0,1176.0,16.63
highschool,10,1,Fugal_init,2.5,1.0,1176.0,1176.0,16.48
highschool,10,1,Fugal_init,3,1.0,1176.0,1176.0,16.83
highschool,10,1,QAP,,1.0,1176.0,1176.0,0.22
highschool,10,1,QAP_init,,1.0,1176.0,1176.0,0.09
highschool,10,2,Fugal,,1.0,1156.0,1156.0,16.43
highschool,10,2,Fugal_init,0.05,1.0,1156.0,1156.0,16.52
highschool,10,2,Fugal_init,0.1,1.0,1156.0,1156.0,16.5
highschool,10,2,Fugal_init,0.25,1.0,1156.0,1156.0,16.47
highschool,10,2,Fugal_init,0.5,1.0,1156.0,1156.0,16.52
highschool,10,2,Fugal_init,1,1.0,1156.0,1156.0,15.09
highschool,10,2,Fugal_init,1.5,1.0,1156.0,1156.0,15.05
highschool,10,2,Fugal_init,2,1.0,1156.0,1156.0,14.96
highschool,10,2,Fugal_init,2.5,1.0,1156.0,1156.0,16.42
highschool,10,2,Fugal_init,3,1.0,1156.0,1156.0,16.59
highschool,10,2,QAP,,0.767584,4564.0,1156.0,0.36
highschool,10,2,QAP_init,,1.0,1156.0,1156.0,0.08
highschool,15,0,Fugal,,1.0,1764.0,1764.0,14.84
highschool,15,0,Fugal_init,0.05,1.0,1764.0,1764.0,16.21
highschool,15,0,Fugal_init,0.1,1.0,1764.0,1764.0,16.41
highschool,15,0,Fugal_init,0.25,1.0,1764.0,1764.0,16.46
highschool,15,0,Fugal_init,0.5,1.0,1764.0,1764.0,15.02
highschool,15,0,Fugal_init,1,1.0,1764.0,1764.0,15.03
highschool,15,0,Fugal_init,1.5,1.0,1764.0,1764.0,16.7
highschool,15,0,Fugal_init,2,1.0,1764.0,1764.0,16.7
highschool,15,0,Fugal_init,2.5,1.0,1764.0,1764.0,16.81
highschool,15,0,Fugal_init,3,1.0,1764.0,1764.0,16.71
highschool,15,0,QAP,,0.244648,8780.0,1764.0,0.51
highschool,15,0,QAP_init,,1.0,1764.0,1764.0,0.06
